Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16
Q9CR26	2	Vta1	0.9945	19.315636566725825	19.34734168770138	19.42879481624398	19.75255038830709	19.73140510055133	19.681490862943253	19.573605209378215	19.64028578425188	19.772274838640993	14.968238680374261	14.460496658731692	NA	NA	NA	NA	NA	NA
Q9CR51	2	Atp6v1g1	1.0	19.413307698276824	19.436145573430846	19.41661682407059	19.374222599422687	19.528198848927055	19.67216400201263	19.795151743335644	19.476099468452425	19.720417478139385	15.090526166167928	14.661461295177093	NA	NA	NA	NA	NA	NA
Q9CR57	1	Rpl14	0.9997	18.4855918555588	18.20708674066338	18.447974523929453	18.89030597912502	18.578896659116964	18.524222837579142	18.369319028398145	18.50549495033041	18.246122353600462	NA	NA	NA	NA	NA	NA	NA	NA
Q9CR61	4	Ndufb7	1.0	20.94307215136962	20.918313646302103	20.896913880921097	21.12530468690597	21.18761565250961	21.388932117842277	21.2903275380423	21.317263231327985	21.439806571386498	17.196871046282755	16.647200656429565	NA	NA	NA	15.874296743200453	NA	NA
Q9CR62	9	Slc25a11	1.0	21.750172873091227	21.62851895960078	21.640644633426277	22.14462188949615	21.944265059782992	22.090262550416107	21.912547650424802	21.641405992518624	22.16103631670899	17.499889236265414	17.515441419883768	NA	NA	NA	NA	NA	NA
Q9CR68	24	Uqcrfs1	1.0	23.186591254726792	22.746611913478507	23.11076968552581	23.339356383094955	23.320216445454168	23.72549141317371	23.697001741250208	23.471084807430334	23.46307062191575	18.93530338079283	18.85502676370605	NA	NA	NA	NA	NA	NA
Q9CR95	6	Necap1	1.0	20.821850639729302	20.815720201108718	20.944120061519794	21.206491297778086	21.1677167236716	21.14038281557508	21.163267965581703	21.137982413898484	21.107063779500653	16.579259647425392	16.46381962775465	NA	NA	NA	NA	NA	NA
Q9CR98	1	Fam136a	0.9982	18.076246002236026	18.108715844490646	18.204194280359182	18.43318008053776	18.4658111856582	18.487862779249316	18.38380552311371	18.413412007547237	18.522448288919968	14.013137508152786	13.449076920795953	NA	NA	NA	NA	NA	NA
Q9CRB6	3	Tppp3	1.0	19.673487380689515	19.544868092281373	20.01846846960715	20.21067188952335	20.202154971057322	19.98580126831483	19.969480709235413	19.818513582007842	19.87786101829414	15.862550208585793	15.421825567288286	NA	NA	NA	NA	NA	NA
Q9CRB8	1	Mtfp1	0.9951	17.281910663344114	16.808829197084776	17.23160440865561	17.199622755690257	17.240269729662003	17.775953754463533	17.076005853226658	17.067971657860458	17.615535509290662	NA	NA	NA	NA	NA	NA	NA	NA
Q9CRB9	6	Chchd3	1.0	21.76927817292036	21.73142354333146	21.780697136526136	22.05451779900604	22.02388687092953	22.259130999163528	22.21482044746658	21.632877613642705	22.008222818221498	17.22597328493454	17.122428017741054	NA	NA	NA	NA	NA	NA
Q9CRD0	4	Ociad1	0.9996	20.56300691192396	20.477253828033458	20.586856287896854	20.81991711446858	20.82289646748111	20.953734329020335	20.951669333935307	20.716394785411822	20.80394669077825	16.546937730997154	16.378595780521202	NA	NA	NA	NA	NA	NA
Q9CS84	3	Nrxn1	1.0	19.583322547683522	19.41386240646107	19.580757187474553	20.128943483495284	19.968998812843623	19.609699750561578	19.57398366574473	19.449724405306466	19.49423774591881	15.634566712190308	14.641840292039833	NA	NA	NA	NA	NA	NA
Q9CVB6	5	Arpc2	0.9997	20.048637417786505	19.793733229980635	20.07463174067004	20.720891113869445	20.405926911193248	20.432090568492494	20.06297280217793	20.088025361054488	20.260395654800217	15.617781329853637	16.19341540500567	NA	NA	NA	NA	NA	NA
Q9CWE0	3	Mtfr1l	0.9989	19.71332541238367	19.63662931672701	19.863041013696762	20.10513924396586	20.025061162982063	20.102921632293537	20.02547765737298	20.07386796863647	20.05648400205062	15.468045694002232	14.926565780051606	NA	NA	NA	NA	NA	NA
Q9CWF2	1	Tubb2b	0.9999	20.48383885297636	20.24141484385233	20.591778228379315	20.98881863676843	20.767789822543495	20.943183929289596	21.15298861745309	20.80162078576681	20.623751573087596	16.636416779661573	16.365645201441207	NA	NA	NA	NA	NA	NA
Q9CWL8	1	Ctnnbl1	0.9896	13.64515969685331	13.682131553211553	13.525203825677227	14.311447691635188	13.77110612178744	13.03888211033589	13.546828847306381	13.284900340433785	13.653203669650589	NA	NA	NA	NA	NA	NA	NA	NA
Q9CWS0	7	Ddah1	1.0	20.940395903055542	20.653847345017045	20.833960295142912	21.261245642907237	21.120586579475344	21.308679562739485	21.16395713238116	21.074383097403633	21.045436992500118	16.61410121527138	16.63809100182936	NA	NA	NA	NA	NA	NA
Q9CWZ7	21	Napg	1.0	21.377247629825593	21.21970013827021	21.42622544539553	21.736190050844925	21.704440726199973	21.849799070163545	21.817354455794977	21.630683451577223	21.687858215307195	17.288470206901952	16.86328798121964	NA	NA	NA	NA	NA	NA
Q9CX00	1	Ist1	0.9999	16.6805383771785	16.213147481915254	16.041401719628674	16.741063747924002	16.170263056381092	16.874049083103493	17.27941216446236	16.284057600202363	17.238229289709952	NA	NA	NA	NA	NA	NA	NA	NA
Q9CX86	1	Hnrnpa0	0.9978	14.956340388932874	14.581016777141826	14.34799588608491	14.552115936887416	14.624486805661657	15.507034592101773	15.690210788327581	14.518048556706047	15.166814147113843	NA	NA	NA	NA	NA	NA	NA	NA
Q9CXS4	4	Cenpv	0.9996	19.373397991542166	19.270030725508477	19.408017225472772	19.82125609194051	19.827602735757512	19.73246936599098	19.628679265379727	19.42111063584172	19.787861321756758	14.353587365482573	15.196207895909213	NA	NA	NA	NA	NA	NA
Q9CXV1	4	Sdhd	0.9984	19.453213216044098	19.453431907226047	19.673125826865533	19.877242944083026	19.710470444136735	19.79147971408405	19.537052730563843	19.656686699315717	19.793131247655477	15.034380934353491	15.201168864736086	NA	NA	NA	NA	NA	NA
Q9CXW4	3	Rpl11	1.0	20.097338167992387	19.933960987851595	20.35720061309192	20.710943698365053	20.650680629268532	20.440377091534305	20.460017194856068	20.2690828015662	20.327574129155913	15.584795294350561	15.928599226541612	NA	NA	NA	NA	NA	NA
Q9CXZ1	5	Ndufs4	1.0	21.43300317474919	21.40934448661122	21.4540411992366	21.65204330429229	21.72748674105854	21.82432853815408	21.753471814292837	21.649122084202354	22.071678087798944	16.721588192557363	17.115631594196554	NA	NA	NA	NA	NA	NA
Q9CY27	4	Tecr	1.0	18.316632494016762	18.069415069177833	18.266896821967556	18.890094941583246	18.55188374863223	18.639123208136848	18.48017134946517	18.265337323915336	18.46537917146836	14.07365352304537	15.081989287653542	NA	NA	NA	NA	NA	NA
Q9CY58	1	Serbp1	1.0	17.50012575520705	16.558371021432663	17.400770375821207	17.521572821311693	17.558213394669806	17.629046946063198	17.90473415499766	17.698735260612676	17.387794250981123	NA	NA	NA	NA	NA	NA	NA	NA
Q9CYH2	8	Prxl2a	1.0	20.07362094217892	19.840776962399936	20.27371231120499	20.712472742394233	20.57476322640753	20.478454586824398	20.474958092235227	20.26263028396725	20.20074497036203	15.699502480915633	15.707927023500941	NA	NA	NA	NA	NA	NA
Q9CYT6	1	Cap2	0.9957	18.98130680337233	18.852637764637056	19.121962804740505	19.36987987607577	19.329998782983647	19.10172974911503	19.107328114739126	19.10158472181675	19.109462206792376	14.41613234142083	NA	NA	NA	NA	NA	NA	NA
Q9CYZ2	2	Tpd52l2	1.0	17.839878498142177	17.525547228193744	18.012602637960534	18.286620592496554	18.211517859790142	18.098279190175724	17.908442068741078	18.31811334098271	18.56503109210623	13.66653092480085	13.726154400127974	NA	NA	NA	NA	NA	NA
Q9CZ13	35	Uqcrc1	1.0	24.03480653530935	23.770960270895156	24.087379268831437	24.476389045602954	24.344153103443947	24.412953854744572	24.416305963645403	24.23771494862222	24.17977399740851	19.8341254362985	19.567108977383686	NA	NA	NA	NA	NA	NA
Q9CZ44	4	Nsfl1c	0.9999	18.52645331189558	18.237838386553772	17.826563578658266	18.399759683924646	18.367706290683998	19.214964816653286	19.394730835734027	18.83355651689146	18.788925216136967	15.521805383460697	14.735577005655365	NA	NA	NA	NA	NA	NA
Q9CZC8	12	Scrn1	1.0	20.938643925965103	20.82469907525929	20.923144318415346	21.261088867578597	21.20174104956348	21.261121048299547	21.238356477267462	21.07347231009622	21.213886762229556	16.374043193179272	16.48061229594304	NA	NA	NA	NA	NA	NA
Q9CZM2	2	Rpl15	0.9972	20.199407056902015	20.147754033284468	20.045959079063138	20.419556556848832	20.256084506079837	20.46170675802715	20.381400850739855	19.988497667524474	20.455129808806078	NA	15.21726043949079	NA	NA	NA	NA	NA	NA
Q9CZN4	2	Shisa9	0.9952	18.995643016909952	19.06007862757889	18.965464879605378	19.30419516819244	19.32866644047367	19.512247537191037	19.38107076492246	19.36602292105951	19.401681696552007	14.750269368690306	14.706554805780932	NA	NA	NA	NA	NA	NA
Q9CZS1	4	Aldh1b1	1.0	18.858169483946167	18.523015721111985	18.964283721174453	19.480718382375642	19.22062194558035	19.0292788053345	18.966514419382246	18.938737602240856	18.945078998186364	14.927819610461546	15.013016202018402	14.009498933374747	NA	NA	NA	NA	NA
Q9CZU6	19	Cs	1.0	23.53577466478722	23.40390653091887	23.63314568661197	23.954503635989475	23.86984215918958	23.957512762048893	23.962570413573243	23.699546592437336	23.600571927505104	19.16766573504432	18.977796115717954	NA	NA	NA	NA	NA	NA
Q9CZW4	2	Acsl3	0.9978	19.112487345468335	18.76901070890708	18.860575147773396	19.40066317504358	19.302366531325944	19.312778365933877	19.43139279169582	18.89433567574251	19.283989285035545	NA	15.843618577457784	NA	NA	NA	NA	NA	NA
Q9CZW5	25	Tomm70	0.9999	22.075892531624255	21.977356890842973	22.0956200049294	22.554828018213556	22.424900712661408	22.458540285879522	22.394692155226952	22.274642154290184	22.291843880492973	17.636343107341503	17.478265498845396	NA	NA	15.178326591893288	NA	NA	NA
Q9CZX8	4	Rps19	1.0	20.10423747222877	20.003271685471727	20.28134024577996	20.500624121379488	20.415530156201815	20.530015846946302	20.47767398464017	20.497688244800674	20.48773644334576	15.76259631947677	15.486431292558635	NA	NA	NA	NA	NA	NA
